name,sex,sign,content
嘉澜柯仙怡,女,,鬼怪真的是我到现在还心动到不行的韩剧，秋冬真的必看的，我太喜欢了！！！（小声说一句，我其实一直没看结局😂）
声声嫚,女,,一到冬天就会想起来的剧呀 温暖到能给人力量 这么说吧 只要你喜欢鬼怪我们就是朋友[热词系列_吹爆]
小岛西岸的气泡水,女,。,我一直觉得小新娘最后肯定成天使了。$$①金信家密码1004，和韩语中的天使发音相似。$$②金信，池恩倬，阿使去“偶遇”sunny买烤红薯的时候，说阿使那天的灰白系穿搭是天使主题，那天池恩倬的穿搭和阿使一样，也是灰白系的。$$③池恩倬为了救那群孩子，开车挡住了那辆后退的车，她去世后，大家看新闻知道了这件事，都说池恩倬是一位像天使一样的人。$$所以我一直坚信，池恩倬后来一定成为了天使和鬼怪永远在一起了.[保佑]
宋承皖一定会中大奖,女,成长中,鬼怪大热的时候没看，以为只是那种普通的好剧。某个暑假补完，然后就变成了心里的白月光。它有一种让我相信和期待神的存在的力量。
杆菌发酵,女,,特别适合冬天窝在被窝里反复刷的剧
星回四支,女,哟,2020.2.29还在坑底
海盐气泡水er,女,业内著名美少女鉴赏家。,2020了我的最爱还是鬼怪[大哭]感谢up，电脑全屏播放▶️每一帧都是绝美壁纸
白蓝豆,女,钻了一堆井，没有一口出油。,2020年了，还有阿婆在剪鬼怪，开心～感动～前段时候刚刚重温过～！
语爱事,女,甚于昨日，略匮明朝,第一部入坑韩剧，鬼怪和他的新娘，地狱使者和sunny
不能吃饱的小应同学,女,346寝传统，吃饱了会上头,当年太爱鬼怪，我用BGM当来电铃声和闹钟。。。以至于我现在一听见这音乐就心慌。。。很慌。。。。就别人一放这个歌我就喘不过气[捂脸]$后来乖了，不要拿喜欢的歌当铃声，会害怕。。。
川浔鹤,女,一个热爱be美学的剪刀手罢辽,我很喜欢有一个翻译是：此生遇见你，无与伦比
重溱w,男,,其实编剧在第一集就告诉了我们结局，鬼怪和他的新娘第一次见面就在雨中看到了他们未来，还有他们第一次去魁北克，新娘在山坡上找到了他，与最后一集首尾呼应，编剧的浪漫啊！！
3jian9,女, ,这可能是我看过剪的最好的鬼怪了
木木子fanny,保密,懒人出没,啊啊啊我觉得这部剧就是韩剧中的步步尽心，播的时候也很火，但和其他火的韩剧比起来后劲最大非常值得回味
不可爱大学新生代表,女,未来的不可爱大学新生代表,鬼怪真的是构图很好的韩剧！！！！up的剪辑调色也超级棒！！！我今年冬天终于把鬼怪看完啦！！！[热词系列_吹爆]
非著名端水艺术家,女,快落营业。˭̡̞(◞⁎˃ᆺ˂)◞₎₎=͟͟͞͞˳,2020年了，我还是好爱鬼怪[大哭]
神经衰弱的胖胖,保密,,up可以把最经典的那几句台词剪上哦，比如“跟你在一起的时光都很耀眼，因为天气很好，因为天气不好，因为天气刚刚好，每一天，都很美好。”[呲牙]一点小观点，只是感觉很多剧中的台词会让人更加心动[tv_害羞]
陪我饮酒吗,保密,杠精别来烦我,好甜好甜  期待今年金高银的新剧嘿嘿
