link,name,title,describe,time,comments,imgUrls
https://yuba.douyu.com/p/238158691628683326,月移花影丶玉人来,【智勋鱼吧吧规】,为规范智勋吧内风气，提升水友阅读体验，使水友明确删帖、封禁原因。发布本吧规，请认真阅读。内容将根据实际情况不定时更新，请各位水友密切关注，及时更新信息，以免造成不良后果。一、基本规则：1.禁止发表政治、民族、地域等敏感话题帖、煽动帖、禁止发表涉及国家、军事和商业机密的话题帖，违者一律严肃处理，给予删帖和永久封禁处罚；2.禁止发表含有恶心、重口味、色情、暴力、18禁、猎奇、灵异等不和谐的帖子/图片/视频，一经发现立即删帖，并视情况给予1日、7日或30日封禁处罚，多次警告不改或情节严重者将永久封禁；3.吧内不得进行商业性活动，禁止发布吸粉帖、广告帖、病毒帖、主播周边贩售信息；禁止一切与主播无关的外部链接、其他APP账号，一经发现立即删帖，并永久封禁；二、允许与主播智勋相关的正常讨论：1.鼓励游戏推荐、音乐推荐、精彩,08-13,4,['https://img.douyucdn.cn/data/yuba/weibo/2021/08/11/202108112002001713403417389.jpg?i=38003b3ac041935a4f9e4f9d72d8ed5323']
https://yuba.douyu.com/p/808265631628673233,智勋勋勋勋,关注“猴子互娱”公众号，玩《诛神记》领1000元！,第一步：微信搜索公众号“猴子互娱”关注，或扫码直接关注，回复“智勋”。第二步：点击【诛神记】玩游戏。*3天等级达150级10元*7天等级达230级18元*15天等级达280级28元*30天等级达350级38元*10天等级达290级1000元（以上奖励同一实名用户每档限领一次）第三步：完成领奖条件在游戏内直接领取。,昨天10:53,34,['https://img.douyucdn.cn/data/yuba/weibo/2021/08/11/202108111712321164928769773.png?i=3320197cdf689eef9c5179e6170b375003']
https://yuba.douyu.com/p/787429771615128841,月移花影丶玉人来,关于QQ粉丝群进群须知！,"想要加智勋粉丝群的小伙伴们注意了,目前为止,我们拥有两个粉丝群。即QQ粉丝①群和QQ粉丝②群  粉丝①群不设粉丝牌限制，申请即可加入。  粉丝②群需12级粉丝牌子进群前请向管理员发送你的粉丝牌截图符合的管理员会拉你进群(仅限于2群),以下是管理员QQ:@香辣年糕 1448283725 @小冉沉滇滇 3095458367 @月移花影、玉人来 2524576682 请想进群的宝宝们踊跃加入，魔教大军，一统千秋万代！",08-15,50,"['https://img.douyucdn.cn/data/yuba/default/2021/03/07/202103072254006700249211302.1440x0.jpg?i=410801b601a9d41b16f1a184fbbe223404', 'https://img.douyucdn.cn/data/yuba/default/2021/03/07/202103072254006951877093950.1440x0.jpg?i=41080212f4c13391c1cbd3d215cf123404', 'https://img.douyucdn.cn/data/yuba/default/2021/03/07/202103072254007709431379943.1440x0.jpg?i=410805779ad510915c7019b52e0fe23404']"
https://yuba.douyu.com/p/119684131613641865,智勋勋勋勋,【魔教中奖须知】,但凡在直播间中奖的兄弟们，以后不用在因联系不上主播而烦恼了，请中奖的兄弟带上自己的账号截图，联系煜总的助理杨实，VX联系方式：447232760核实过后都会一一给兄弟们发放奖品（除非厂家或者平台因不可抗力导致奖品拖延）,07-04,91,[]
https://yuba.douyu.com/p/701569681542813482,智勋勋勋勋,以后没有特殊情况，绝对不会让粉丝们苦苦等待了。[流泪][流泪][流泪],以后没有特殊情况，绝对不会让粉丝们苦苦等待了。[流泪][流泪][流泪],08-14,452,[]
https://yuba.douyu.com/p/187922701530286761,智勋勋勋勋,就总有些水友，老是说我打的都是钻石分段的低端局，说我打高端局太菜，三级被我单杀的都是钻石的,就总有些水友，老是说我打的都是钻石分段的低端局，说我打高端局太菜，三级被我单杀的都是钻石的小垃圾。根本上不了台面。现在你们还有啥好说的？直播手打韩服王者，了解一下？来来来，你们说，你们说，看看你们还有啥说的，能说出来，我算你赢[生气][生气][生气],07-26,323,"['https://img.douyucdn.cn/data/yuba/default/2018/06/29/201806292339195779609269433.1440x0.jpg?i=412808de953c2fb4398035ee33cb347203', 'https://img.douyucdn.cn/data/yuba/default/2018/06/29/201806292339214522723969394.1440x0.jpg?i=41280e1f1f75099c29adbcca8311967203']"
https://yuba.douyu.com/p/436381781629183677,猪是被吃的,最近勋哥说过有什么活动吗？,最近勋哥说过有什么活动吗？,7分钟前,6,[]
https://yuba.douyu.com/p/869765261629165033,魔教矮个子1米8丶,抽的改名卡！,兄弟们有没有什么好的名字推荐一下！,12分钟前,8,['https://img.douyucdn.cn/data/yuba/weibo/2021/08/17/202108170950077138695958161.1440x0.png?i=41487b31d3aa4309cc207b102a4e836553']
https://yuba.douyu.com/p/882618771629188946,治呆妹的自熏,电脑弄好了吗？,早上没看[弹幕梗giegie],20分钟前,0,"['https://img.douyucdn.cn/data/yuba/default/2021/08/17/202108171629019350180263636.jpg?i=3364f2abedbffdcbb6a4ca7959cab12903', 'https://img.douyucdn.cn/data/yuba/default/2021/08/17/202108171629023818620766000.jpg?i=337722ea32920f6161c586516fb2732923', 'https://img.douyucdn.cn/data/yuba/default/2021/08/17/202108171629041311148285053.jpg?i=3377e5584f54e4691fe01ff6fdf2152913']"
https://yuba.douyu.com/p/881079921629177114,魔教优衣库,xdm，中午好,中午好,20分钟前,9,"['https://img.douyucdn.cn/data/yuba/default/2021/08/17/202108171311413235785093493.jpg?i=3720d01e6b0b6a46b149cc44d732749603', 'https://img.douyucdn.cn/data/yuba/default/2021/08/17/202108171311413275057174345.1440x0.jpg?i=41080ec2e29c343db14750b83981b58103', 'https://img.douyucdn.cn/data/yuba/default/2021/08/17/202108171311414471787735993.1440x0.jpg?i=4108036c924b9f97584ff04b2ffba14404']"
