link,title,game,anchor,hot,tags
https://www.douyu.com/606118,【双倍】下午三点准时开播~,英雄联盟,芜湖大司马丶,219.7万,金牌讲师 肉蛋葱鸡主厨
https://www.douyu.com/10028785,体育课开整—— 拉扯,英雄联盟,苏科大,130.9万,最强上单，电竞学长
https://www.douyu.com/475252,孙悟空：峡谷有善口技者,英雄联盟,孙悟空丨兰林汉,214.8万,世界第一孙悟空
https://www.douyu.com/22222,淑怡：双倍亲密度,英雄联盟,不2不叫周淑怡,211.6万,前英雄联盟官方解说
https://www.douyu.com/16101,微笑：峡谷之巅,英雄联盟,微笑,173.8万,前职业选手  IPL5冠军
https://www.douyu.com/9075049,顶尖亚索教学局,英雄联盟,清风亚索QAQ,31.4万,国服第一亚索
https://www.douyu.com/6560603,下午4点准时不见不散~,lol云顶之弈,阿涛皎月Carry,160.4万,仙术发明家套路缔造者
https://www.douyu.com/288016,【重播】17点LPL季后赛WEvsRA,英雄联盟,英雄联盟赛事,189.5万,斗鱼英雄联盟官方赛事
https://www.douyu.com/522387,下午好呀啊啊,英雄联盟,impOUO,132.6万,SSW战队 S4冠军AD
https://www.douyu.com/1126960,余小C：小C参加线下拍摄，主播本人来直播,英雄联盟,余小C真的很强,213.1万,2020LOL全明星SOLO赛冠军 
https://www.douyu.com/4384049,15天峡谷小号上王者 上不去开摄像头！,英雄联盟,佳佳剑姬,74.8万,国服第一剑姬
https://www.douyu.com/5225084,峡谷努力冲分加油,英雄联盟,天灰灰qaq,115.9万,DYU冠军上单 双服第七
https://www.douyu.com/9811073,闭关修炼 打会教学,英雄联盟,双一ovo,73.6万,S11峡谷第一厄斐琉斯
https://www.douyu.com/33,TCvsQ9 星火邀请赛,LOL手游,斗鱼英雄联盟手游赛事,304.9万,斗鱼LOL手游赛事
https://www.douyu.com/6151888,爆杀流佐伊QA就秒教学！1v5蛇女教学！,英雄联盟,自宇666,71.8万,峡谷最强佐伊
https://www.douyu.com/9747532,黑色玫瑰等你来❤,英雄联盟,若水宝贝吖,5.1万,最强提莫
https://www.douyu.com/5220173,恶霸提莫，3天内上1000分,英雄联盟,恶霸提莫,69.6万,国服第一炼金术士
https://www.douyu.com/338281,表弟：第一帅刀妹,英雄联盟,疯狗炼金,64.1万,弃车流锐雯创始人
https://www.douyu.com/1274982,Rivenk：顽皮小锐雯~,英雄联盟,团长Rivenk,1.2万,国服第一风女
https://www.douyu.com/1722685,国一吹教你怎么carry！！！,英雄联盟,睿智三,56.7万,LDL官方直播间
https://www.douyu.com/1305436,电一组排免费上车~~,英雄联盟,欣酱c,14.7万,国服第一女扎克 斗鱼第一女野王
https://www.douyu.com/705690,LDL夏季赛 WZvsUPA,英雄联盟,LDL官方直播间,54.8万,国服顶尖上单刘小又
https://www.douyu.com/266055,二台：峡谷开冲 BO30我来了！！！,英雄联盟,萌面酥,99.1万,峡谷之巅千分蜘蛛
https://www.douyu.com/1719183,刘小又：绝不摆烂！,英雄联盟,刘小又XD,51.9万,峡谷金牌饭堂
https://www.douyu.com/9843679,小瑟篮想开福袋~,英雄联盟,宋土豆呢,2076,国服第一小鱼人
https://www.douyu.com/9063322,峡谷王者了，定个小目标前十！！,英雄联盟,林子文i,51.6万,国服第一女烬
https://www.douyu.com/9295826,全英雄联盟最下饭的饭堂,英雄联盟,英雄联盟小饭堂,51.5万,斗鱼英雄联盟赛事活动官方直播间
https://www.douyu.com/522425,LCS夏季赛20日重播,英雄联盟,赛事专用直播间5,51.1万,斗鱼英雄联盟赛事活动官方直播间
https://www.douyu.com/107253,今天教学局.乱杀各种小代!,英雄联盟,LOL丶摇摆,50.8万,国服最强青钢影 青钢影导师
https://www.douyu.com/210398,♥今天你健身了吗♥,英雄联盟,李冉冉i,50.8万,国服第一女枪
https://www.douyu.com/673320,Leyan第一视角,英雄联盟,英雄联盟赛事活动,50.7万,斗鱼嘉年华官方直播间
https://www.douyu.com/3563196,Breathe第一视角,英雄联盟,赛事专用直播间2,50.4万,螳螂RW进化流aee第一人
https://www.douyu.com/5631578,青钢影天花板，一区大师局教学,英雄联盟,南风青钢影,47.3万,全能甜音辅助
https://www.douyu.com/6506454,峡谷王者女枪冲前十,英雄联盟,夏天夏天丶丶,46.5万,职业选手韩服OB
https://www.douyu.com/6,口味王全国电竞城市赛,英雄联盟,斗鱼官方直播,2.9万,声优打野少女
https://www.douyu.com/2719701,斗鱼最强螳螂！,英雄联盟,摘星螳螂,46.1万, 国服第一剑圣
https://www.douyu.com/7024373,❤️电一❤️有车位,英雄联盟,呓呓i,44.9万,网一美少女卡莎
https://www.douyu.com/571881,披萨OB: IG羞/FPX/EDG/左手,英雄联盟,披萨解说,43.8万,国服第一金克丝 中单金克丝创始人
https://www.douyu.com/7820572,啥都玩~有车位,英雄联盟,暖酱也是宝贝呀,43.5万,全能野王
https://www.douyu.com/5353760,猛女晚： 电一有车位~,英雄联盟,晚离丷,43.4万,千场迦娜美少女
https://www.douyu.com/139219,今天停电，晚上7点来电开播，放轮播,英雄联盟,虚弱剑圣怒江,43万,国服第一狗头
https://www.douyu.com/8400497,网一有车位：温柔对待世界,英雄联盟,阿轩姑娘,43万,上单雷霆瑞兹创始人
https://www.douyu.com/544865,作作金克丝:AD运营教学,英雄联盟,作作金克丝,41.2万,DYU冠军辅助
https://www.douyu.com/39300,舟：王者全能打野，看我把把C,英雄联盟,舟老师丶,40.9万,国服最强剑圣
https://www.douyu.com/6138550,黑色玫瑰早班车,英雄联盟,甜妮baby丶,40.4万,温柔渣男  顶尖万场发条
https://www.douyu.com/780824,最强沙漠死神，力之极处破万法,英雄联盟,神威仙大将军,39.4万,前LPL打野选手
https://www.douyu.com/7670275,三级必杀大师王者！ 瑞兹王！,英雄联盟,狼神丶欧阳,39.3万,国服王者卡特
https://www.douyu.com/194635,临界：一区900分 然后打劫,英雄联盟,临界,39.3万,国服顶尖阿狸
https://www.douyu.com/2845610,无脑暴躁的中单老剑圣,英雄联盟,玩剑圣的毛毛虫,37.6万,卡莎全面教学导师
https://www.douyu.com/2056495,顶尖发条玩家,英雄联盟,豪男xhn,37.3万,国服第一赵信
https://www.douyu.com/333344,遗憾：祖安冲冲冲，冲个小1000！！,英雄联盟,Y1hanOVO,35.7万,峡谷打野岩雀king
https://www.douyu.com/105262,王者卡特：新版出装教学， 录播，晚上直播,英雄联盟,向左卡特,35.5万,前职业女队打野
https://www.douyu.com/6434169,最强阿狸：艾欧钻石局,英雄联盟,冰雪狐狸丶阿狸,35.2万,国服高分段薇恩
https://www.douyu.com/4527270,最初：逆版本玩卡莎的主播！,英雄联盟,最初卡莎,34.7万,国服顶尖女AD
https://www.douyu.com/600290,赵信第一人，虚空总管卡兹信,英雄联盟,浪灯丶,34.6万,国服顶尖锤石
https://www.douyu.com/9782033,峡谷王者局岩雀专场,英雄联盟,疯狂原始人zz,33.3万,国服高端阿狸
https://www.douyu.com/94228,今天出去录歌。。。,英雄联盟,狐狸酱大魔王,33.3万,王者卡莎
https://www.douyu.com/653999,川渝第一vn 包学包会,英雄联盟,暗夜猎手光头强,33万,国服第一马尔扎哈 双冰龙蚂蚱开创者
https://www.douyu.com/5332021,夏沫沫：有位子 艾欧尼亚 oMo,英雄联盟,让沫沫带你飞,32.5万,国服第一龙龟
https://www.douyu.com/9751260,7天冲千分！,英雄联盟,心星丶小十九,32.4万,前职业选手  IPL5冠军
https://www.douyu.com/1960469,回放中【王者阿狸绝活哥】极致爆发流教学！,英雄联盟,辉哥阿狸,32.3万,国服第一女佐伊
https://www.douyu.com/828709,小猪卡莎：对线打团教学 学会轻松上钻,英雄联盟,小猪ADcarry,32.2万,国服第一狗熊
https://www.douyu.com/541340,折磨入心的蚂蚱上分太简单了,英雄联盟,若雨蚂蚱,32.2万,版本先锋
https://www.douyu.com/4533200,【99%胜率龙龟】主Q征服者，怼翻全场！,英雄联盟,唐人龙龟,32万,国服全能型女主播
https://www.douyu.com/60062,卷毛：峡谷之巅上分！,英雄联盟,风中追风Fzz1,32万,国服第一阿卡丽
https://www.douyu.com/10075323,新号10天上王者,英雄联盟,小文武z,31.6万,残月之肃三武器连招创始人
https://www.douyu.com/8898893,峡谷王者全能ad,英雄联盟,希城呀,31.1万,韩服最强伊芙琳
https://www.douyu.com/5419460,小十七❤有车位有车位有车位,英雄联盟,小十七niko,31万,峡谷全能女选手
https://www.douyu.com/668751,网一，学海无涯啊,英雄联盟,日常辅助的猫小月,30.7万,LPL天才打野 职业颜王
https://www.douyu.com/6183727,熊王c：一头咸熊~,英雄联盟,熊王c,29.9万,韩服千分王者打野
https://www.douyu.com/1476712,新版法师 AP无上限！,英雄联盟,中年人拳师七号,28.7万,驴酱一姐
https://www.douyu.com/1056861,- 禁止叫 猪播 渣女 ❤️,英雄联盟,Le19ian,27.7万,天才中单
https://www.douyu.com/9086586,冲击峡谷之巅 绝活阿卡丽,英雄联盟,一只阿卡丽灬小表哥,27.7万,绝地可爱女神
https://www.douyu.com/1283592,阿污：厄斐琉斯专精，峡谷冲大师,英雄联盟,请叫我阿污呀,26.5万,美少女AD峡谷卡莎王
https://www.douyu.com/6473070,歪果仁 上大师,英雄联盟,宋宰赫877,26.2万,峡谷最御莉莉娅
https://www.douyu.com/1730643,电一有一起打代币的吗 办卡上车,英雄联盟,36D的金宝,26万,中单AP大虫子创始人
https://www.douyu.com/4883559,全能教学打野,英雄联盟,World6kk,25.8万,国服第一硬辅
https://www.douyu.com/9371772,已大师，冲王者！9371772,英雄联盟,小逸出击,25.8万,峡谷顶尖女烬
https://www.douyu.com/1976280,赫本是猪的直播间,英雄联盟,直播间最发抛的欣欣,25.6万,峡谷顶尖中单发条
https://www.douyu.com/9691350,景天:全能中单峡谷上分,英雄联盟,景天zxz,25.6万,国服第一女龙王
https://www.douyu.com/449731,不上车？那我走？？,英雄联盟,睡不醒的小沫沫OuO,25.2万,国服最强女佐伊
https://www.douyu.com/7556060,关于我转生变成天才AD这件事,英雄联盟,璇呆了,23万,峡谷女努努
https://www.douyu.com/5790472,电一有车位，御姐莉莉娅c~,英雄联盟,呆星QvQ,22.7万,峡谷超强女佐伊
